#OTU ID	CTL_Ctrl1_Trip1	CTL_Ctrl2	CTL_Ctrl3	CTL_ExtractionCtrlPro_Trip1	CTL_NTC2	CTL_NegCtrl1_Trip2	CTL_NegCtrl2_Trip2	CTL_PCRCtrl_Trip1	TRIP4_EB1	TRIP4_EB2	TRIP4_EB3	TRIP4_EB4	TRIP4_EB5	TRIP4_SEB
832a017b511b908dfc6890a80a6b863c	0	0	0	0	0	0	0	0	1281	0	0	0	0	0
b132ae3744663783cdbcf920f1b5074a	0	0	0	0	0	0	0	0	1277	0	0	0	0	0
0897bb249c3b7ae16029f82ad4fd89b3	0	0	0	0	0	0	0	0	1266	0	0	0	0	0
8eb7132702b8fb05194e64ce018cd900	0	0	0	0	0	0	0	0	0	1258	0	0	0	0
dbfd8c332183187b0f109491167a81d7	0	0	0	0	0	0	0	0	1253	0	0	0	0	0
67da717c37ac5521d57c8e8c42a00af7	0	0	0	0	0	0	0	0	1251	0	0	0	0	0
3d81556614fa2876cc5de61590a422c5	0	0	0	0	0	0	0	0	0	1249	0	0	0	0
0a3c292ff6f818e36af215300de1af0d	0	0	0	0	0	0	0	0	1247	0	0	0	0	0
fdb43f3e9925b7d05ac8db50482af2b1	0	0	0	0	0	0	0	0	0	0	1234	0	0	0
9c7f0ded651d134c0c15ee04436a9104	0	0	0	0	0	0	0	0	1233	0	0	0	0	0
9e50c9c29f77a2bf593f9fc1a86d4c5d	0	0	0	0	0	0	0	0	1230	0	0	0	0	0
014782e2820c9b3c21f90bae81e5aae2	0	0	0	0	0	0	0	0	0	0	0	1230	0	0
04d8f66bdb50eea03d0e4bbf510e010f	0	1226	0	0	0	0	0	0	0	0	0	0	0	0
ad63531e5eb8067b9897e84d1edf34a9	0	631	374	0	0	125	96	0	0	0	0	0	0	0
8ae8ebd1993e6b32ef2b30eb8fe7f19f	0	339	390	319	0	122	56	0	0	0	0	0	0	0
1ef8ee0db916a5da6612dd4d5d505195	0	0	0	0	1219	0	0	0	0	0	0	0	0	0
0a0f3e86fadee3853a508ef6ad1f8f27	0	0	0	0	0	0	0	0	0	0	0	1216	0	0
f88a2761db708caa32663687faa79f42	0	86	23	0	0	0	0	0	0	1104	0	0	0	0
7de04054f7121a801adfa13de3bb689e	0	0	0	0	0	0	0	0	0	1213	0	0	0	0
7f756374fb6d549ecb7cc8187f1fd20a	0	0	0	1148	0	0	8	24	0	0	0	0	0	31
fb65616aaf1abf95159484e876e4d2fb	0	0	0	1209	0	0	0	0	0	0	0	0	0	0
6fba670ffd86c8ae2f2584730ea65ddb	0	0	0	1205	0	0	0	0	0	0	0	0	0	0
19b7510d34c9fccfb90ba8b417ffd956	0	0	0	0	0	0	0	0	0	1200	0	0	0	0
082a69de870364d3daac1dffe3cc02a2	0	0	0	1195	0	0	0	0	0	0	0	0	0	0
9117939c8b6c4f6f2aeeb4df736fb557	0	0	0	0	0	0	0	0	1188	0	0	0	0	0
70263784dc8090d909153a62ee51d0fc	0	0	0	0	0	0	0	0	1187	0	0	0	0	0
7cb7fe59682cbd304af51ba1525b6070	0	0	104	0	0	483	595	0	0	0	0	0	0	0
c339ed5820d71912d08f810f5a84869e	0	0	0	0	0	0	0	0	1177	0	0	0	0	0
bdf429c3acc9286384dec6e48a1fc5cb	0	183	682	0	0	190	115	0	0	0	0	0	0	0
407df56a67e5c3e26ee225287d773f54	0	94	647	0	0	235	192	0	0	0	0	0	0	0
4694d338d20975356d0719ddcb778218	0	0	0	0	0	0	0	0	1167	0	0	0	0	0
8727ff71589dd9aa986cfd73845ba498	0	0	0	0	0	0	0	0	1165	0	0	0	0	0
fba9ba7ea8145f55229c6bd938c6fcc6	0	0	0	0	0	0	0	0	1150	0	0	0	0	0
46f6692b7f94812ce94cb344848dec0c	0	0	0	0	0	0	0	0	1150	0	0	0	0	0
b61daff02223fce37f77f8e6a1eb86dc	0	445	533	0	0	113	58	0	0	0	0	0	0	0
6e6f5983a22d8f1499f0e98836f5eb0b	0	200	520	0	0	265	164	0	0	0	0	0	0	0
c012b34b3ebbf99e2850ee8e142e5ecd	0	204	499	160	0	138	59	85	0	0	0	0	0	0
389b59f149e8bc324f93fa47fe0eb8a9	0	0	124	0	0	472	545	0	0	0	0	0	0	0
471a2b818f0c8e1505bb72079a846dc7	0	0	0	0	0	0	0	0	1138	0	0	0	0	0
93533a3edf719d68196d5db46ab9ffd7	0	277	642	0	0	120	92	0	0	0	0	0	0	0
d55e8966ad468ef3dd3092e2e84c34d2	0	0	0	0	0	0	0	0	1131	0	0	0	0	0
59e850477382c6d8b77316f392c5a7f1	0	0	0	0	0	0	0	0	1129	0	0	0	0	0
34e098c4869a6d08e145e551217ce20b	0	0	87	0	0	526	514	0	0	0	0	0	0	0
ee214048c1b8283cd4548405b2092f33	0	0	0	1123	0	0	0	0	0	0	0	0	0	0
3b001df06d3a56ff1fe5d619253b5fe9	0	0	0	0	0	0	0	0	0	1120	0	0	0	0
347ef82f273cc6465b6d567c9625eeb4	0	0	0	0	0	0	0	0	0	1119	0	0	0	0
0d984f3e3958f936fa813b3150e5412a	0	988	115	0	0	0	13	0	0	0	0	0	0	0
f00db2b3bbf0d34a1d9104301a0d7f6d	0	0	0	0	0	0	0	0	0	0	1111	0	0	0
237d9f083a226e512e71d64977134445	0	0	0	0	0	0	0	0	1110	0	0	0	0	0
16dc2270d357dcf2cc4205a6da71a0e3	0	0	0	0	0	0	0	0	0	0	0	1110	0	0
82a435a65f567e0143ff84d29dfd5bf5	0	0	0	0	0	0	0	0	1106	0	0	0	0	0
