run_accession	sample_accession	sample_title	library_name	instrument_model	read_count	base_count	lat	lon	country	fastq_ftp	fastq_bytes	desert	bioproject
SRR5839035	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	37478	10348623	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/005/SRR5839035/SRR5839035.fastq.gz	3621164	Gurbantunggut	PRJNA376617
SRR5839036	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	36949	10201466	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/006/SRR5839036/SRR5839036.fastq.gz	3560127	Gurbantunggut	PRJNA376617
SRR5839037	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	31647	8740488	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/007/SRR5839037/SRR5839037.fastq.gz	3018431	Gurbantunggut	PRJNA376617
SRR5839040	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	42402	11713669	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/000/SRR5839040/SRR5839040.fastq.gz	4094922	Gurbantunggut	PRJNA376617
SRR5839144	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	40934	11307534	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/004/SRR5839144/SRR5839144.fastq.gz	4157694	Gurbantunggut	PRJNA376617
SRR5839145	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	40935	11306227	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/005/SRR5839145/SRR5839145.fastq.gz	4014769	Gurbantunggut	PRJNA376617
SRR5839151	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	41781	11537644	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/001/SRR5839151/SRR5839151.fastq.gz	3965773	Gurbantunggut	PRJNA376617
SRR5839215	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	41655	11501974	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/005/SRR5839215/SRR5839215.fastq.gz	3803163	Gurbantunggut	PRJNA376617
SRR5839216	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	38800	10713531	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/006/SRR5839216/SRR5839216.fastq.gz	3554981	Gurbantunggut	PRJNA376617
SRR5839217	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	33352	9208192	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/007/SRR5839217/SRR5839217.fastq.gz	3132353	Gurbantunggut	PRJNA376617
