genus	phylum	n_sites	spearman_rho_elemental_axis	p_value	q_bh_200	supported_q_lt_0_05
Segetibacter	Bacteroidota	60	-0.3746040567	0.003189887751	0.007505618238	True
Sphingoaurantiacus	Pseudomonadota	60	-0.3702139483	0.003596255532	0.008363384958	True
Massilia	Pseudomonadota	60	-0.3690469575	0.003711713333	0.00853267433	True
Roseicella	Pseudomonadota	60	-0.3647124201	0.004169803238	0.009476825542	True
Mycobacterium	Actinomycetota	60	-0.3641011392	0.00423826904	0.009524200089	True
Pedomicrobium	Pseudomonadota	60	-0.3580994721	0.004965028405	0.01090371803	True
Lysobacter	Pseudomonadota	60	-0.3494859683	0.006199304573	0.01333183779	True
Sumerlaea	Sumerlaeota	60	-0.3468185607	0.006632523544	0.01380361489	True
Rubrobacter	Actinomycetota	60	-0.3462628508	0.006726042001	0.01380361489	True
Roseomonas	Pseudomonadota	60	-0.344651292	0.007003802628	0.01414909622	True
Acidibacter	Pseudomonadota	60	-0.3428174493	0.007332029978	0.0143754493	True
Sporocytophaga	Bacteroidota	60	-0.3427618783	0.007342182568	0.0143754493	True
Verrucosispora	Actinomycetota	60	-0.3425395943	0.007382915837	0.0143754493	True
Saccharothrix	Actinomycetota	60	-0.3419283134	0.007495951762	0.01441529185	True
Pajaroellobacter	Myxococcota	60	-0.3334259517	0.009232164557	0.01741917841	True
Nitrospira	Nitrospirota	60	-0.3318143929	0.009597986791	0.01777404961	True
Actinomadura	Actinomycetota	60	-0.3273687135	0.01067311933	0.0195837052	True
Aeromicrobium	Actinomycetota	60	-0.3165323701	0.01374005662	0.02453581539	True
Rubellimicrobium	Pseudomonadota	60	-0.3144206724	0.01441869664	0.02551981706	True
Novosphingobium	Pseudomonadota	60	-0.2939705474	0.02261870903	0.03899777418	True
Archangium	Myxococcota	60	-0.2487357599	0.05531334683	0.09067761776	False
OM27 clade	Bdellovibrionota	60	-0.2424006669	0.06203214707	0.1000518501	False
PMMR1	Pseudomonadota	60	-0.241400389	0.06315073351	0.1010411736	False
Modestobacter	Actinomycetota	60	-0.2381772715	0.06686590615	0.106136359	False
